netstrain	pxy1	varcorCSYM	Pxy[Mpa]
2.5600	1.5122	91.4766	1512.2001
2.5650	1.5149	91.4605	1514.9413
2.5700	1.5191	91.4460	1519.1352
2.5750	1.5219	91.4260	1521.9081
2.5800	1.5261	91.4234	1526.0982
2.5850	1.5289	91.4508	1528.8795
2.5900	1.5330	91.4147	1533.0018
2.5950	1.5358	91.4574	1535.8018
2.6000	1.5400	91.4025	1539.9830
2.6050	1.5428	91.3563	1542.7822
2.6100	1.5469	91.3355	1546.9354
2.6150	1.5497	91.3201	1549.6872
2.6200	1.5539	91.3689	1553.8959
2.6250	1.5566	91.3782	1556.5883
2.6300	1.5607	91.3605	1560.6502
2.6350	1.5635	91.2686	1563.5243
2.6400	1.5676	91.3313	1567.6461
2.6450	1.5705	91.3806	1570.4712
2.6500	1.5746	91.3380	1574.5744
2.6550	1.5772	91.3657	1577.2309
2.6600	1.5815	91.3315	1581.5049
2.6650	1.5841	91.3558	1584.1035
2.6700	1.5878	91.3552	1587.8272
2.6750	1.5907	91.4084	1590.7486
2.6800	1.5948	91.3016	1594.8306
2.6850	1.5977	91.3080	1597.7029
2.6900	1.6018	91.3216	1601.7713
2.6950	1.6046	91.2854	1604.5738
2.7000	1.6088	91.2557	1608.7853
2.7050	1.6116	91.2945	1611.5647
2.7100	1.6157	91.2637	1615.7217
2.7150	1.6185	91.2349	1618.4870
2.7200	1.6227	91.3238	1622.6830
2.7250	1.6254	91.2025	1625.3732
2.7300	1.6296	91.2012	1629.6473
2.7350	1.6323	91.2189	1632.3267
2.7400	1.6366	91.2749	1636.6158
2.7450	1.6393	91.2614	1639.2827
2.7500	1.6435	91.2581	1643.5345
2.7550	1.6462	91.2483	1646.2279
2.7600	1.6505	91.2196	1650.4884
2.7650	1.6531	91.2665	1653.1298
2.7700	1.6575	91.1492	1657.4520
2.7750	1.6601	91.2286	1660.1060
2.7800	1.6644	91.1351	1664.3584
2.7850	1.6670	91.2959	1667.0461
2.7900	1.6713	91.1877	1671.3146
2.7950	1.6740	91.2324	1673.9701
2.8000	1.6782	91.1544	1678.2219
